block	prime	fragment	posprime	ctrlprime	blckprime
mystery	moisten	m _ _ s t e _	0.5	0.25	0.2
republican	rebuilding	r e _ u i l _ i n _	0.5	0.25	0.2
square	squeal	s q u _ a _	0.3	0.05	0
account	accents	a _ c _ n t s	0.95	0.75	0.7
blonde	belong	b _ l o n _	0.4	0.2	0.15
bother	bolted	b o _ t e _	0.6	0.4	0.35
closing	calming	c _ l _ i n g	0.7	0.5	0.45
embarrass	escapades	e s _ a _ a _ e s	0.6	0.4	0.35
grandma	groaned	g r _ a n _ _	0.35	0.15	0.1
letters	leather	l e _ t _ e r	0.45	0.25	0.2
pimple	pumped	p _ m p e _	0.6	0.4	0.35
shallow	shadows	s _ a _ o w s	0.8	0.6	0.55
crayon	canyon	c a _ y o _	0.95	0.8	0.75
football	formally	f o _ _ a l l _	0.2	0.05	0
perfume	presume	p _ e _ u m e	0.75	0.6	0.55
circle	curled	c _ r l e _	0.35	0.25	0.2
seller	shells	s _ e _ l s	0.7	0.6	0.55
stream	stormy	s t _ r m _	0.9	0.8	0.75
subject	stubble	s _ u _ b _ e	0.5	0.4	0.35
disagree	discreet	d i s _ r _ e _	0.15	0.1	0.05
luggage	laughed	l _ u g _ e _	0.15	0.1	0.05
choice	chrome	c h _ o _ e	0.25	0.25	0.2
church	chorus	c h _ _ u _	0.05	0.05	0
monster	mastery	m _ s t e r _	0.85	0.85	0.8
scream	schema	s c _ _ m _	0.2	0.2	0.15
unknown	unbound	u n _ o _ n _	0.05	0.05	0
welcome	wedlock	w e _ l _ c _	0.05	0.05	0
amount	almost	a _ _ o _ t	0.05	0.1	0.05
driver	droves	d r _ v _ s	0.85	0.9	0.85
necklace	newcomer	n e _ c _ _ e r	0	0.05	0
airplane	alliance	a _ _ i a n _ e	0.65	0.15	0.15
florida	flirted	f l _ r _ _ d	0.6	0.1	0.1
punishment	publishers	p u _ _ i s h e _ s	0.65	0.15	0.15
system	styles	s _ y _ e s	1	0.5	0.5
explain	exiling	e x _ l i n _	0.6	0.15	0.15
marriage	maritime	m a r _ _ i _ e	0.5	0.05	0.05
minority	ministry	m i n _ _ t _ y	0.6	0.15	0.15
modern	maiden	m _ _ d _ n	0.75	0.3	0.3
police	pelvic	p _ l _ i c	0.5	0.05	0.05
blanket	bayonet	b a _ _ n e t	0.55	0.15	0.15
decrease	deceased	d e _ e a s _ _	0.8	0.4	0.4
washer	weasel	w _ a s e _	0.7	0.3	0.3
forward	forbade	f o r _ a d _	0.7	0.35	0.35
mustache	menarche	m _ _ a _ c h e	0.35	0	0
airport	airflow	a i r _ _ o _	0.3	0	0
depend	denied	d e _ _ e d	0.7	0.4	0.4
disappear	disrupted	d i s _ _ p _ e d	0.3	0	0
energy	enters	e n _ e r _	0.8	0.5	0.5
manners	mariner	m a _ _ n _ r	0.3	0	0
loving	lotion	l o _ i _ n	0.3	0.05	0.05
cautious	counties	c _ u _ t i _ s	0.2	0	0
collect	closest	c _ o _ e _ t	0.3	0.1	0.1
doctor	donors	d o _ o _ s	0.25	0.05	0.05
ketchup	kneecap	k _ e _ c _ p	0.25	0.05	0.05
mirror	memoir	m _ _ o _ r	0.25	0.05	0.05
sticky	sickly	s _ c k _ y	0.85	0.65	0.65
abnormal	arboreal	a _ b o r _ a l	0.15	0	0
addition	advising	a d _ i _ i n _	0.15	0	0
always	alarms	a l a _ _ s	0.15	0	0
bottom	bosoms	b o _ o _ s	0.15	0	0
chocolate	checklist	c h _ c _ l i _ t	0.2	0.05	0.05
coffee	cohere	c o _ e _ e	0.15	0	0
dinosaur	downpour	d _ _ n _ o u r	0.15	0	0
direct	deduct	d e _ _ c t	0.8	0.65	0.65
dollars	donates	d o _ a _ _ s	0.2	0.05	0.05
winner	whined	w _ i n e _	0.7	0.55	0.55
answer	assert	a _ s _ r _	0.45	0.35	0.35
because	behaves	b e _ a _ _ s	0.15	0.05	0.05
buffalo	baffled	b _ f f l _ _	0.6	0.5	0.5
exercise	edgewise	e _ _ e _ i s e	0.1	0	0
sorrow	screws	s _ r _ w s	0.75	0.65	0.65
strong	saturn	s _ t _ r n	0.85	0.75	0.75
together	tolerate	t o _ e _ _ t e	0.1	0	0
curtains	carvings	c _ r _ i n _ s	0.05	0	0
diamond	demoted	d _ m o _ _ d	0.05	0	0
princess	predicts	p r _ _ i c _ s	0.05	0	0
sneeze	seeped	s _ e _ e _	0.05	0	0
candle	cables	c a _ l _ s	0.15	0.15	0.15
ending	ethnic	e _ _ n i _	0	0	0
exhale	enable	e _ a _ l e	0	0.05	0.05
pencil	perils	p e _ i _ s	0.75	0.1	0.15
argument	arrogant	a _ r _ g _ n t	0.85	0.35	0.4
secretary	specialty	s _ e c _ a _ t y	0.9	0.4	0.45
everything	expediting	e _ p e _ _ t i n g	0.5	0.05	0.1
fishing	fission	f i _ s i _ _	0.4	0	0.05
friend	furies	f _ r i _ s	0.45	0.05	0.1
outdoors	outburst	o u t _ _ r s _	0.45	0.1	0.15
proper	parole	p _ r o _ e	0.85	0.5	0.55
reason	reborn	r e _ o _ n	0.45	0.1	0.15
business	bustling	b u s _ _ i n _	0.35	0.05	0.1
female	feudal	f e _ _ a l	0.3	0	0.05
outlet	ousted	o u _ t e _	0.35	0.05	0.1
scary	scrap	s c _ a _	0.6	0.3	0.35
stripe	satire	s _ t _ r e	1	0.7	0.75
summer	superb	s u _ e r _	0.5	0.2	0.25
volcano	violate	v _ o l a _ _	0.85	0.55	0.6
excuse	exacts	e x _ c _ s	0.25	0	0.05
morals	mortal	m o r _ _ l	0.5	0.25	0.3
pyramid	permits	p _ r m i _ s	0.75	0.5	0.55
school	should	s h o _ l _	0.6	0.35	0.4
tennis	tonics	t _ n i _ s	0.3	0.05	0.1
adults	amulet	a _ u l _ t	0.25	0.05	0.1
bathroom	bedrooms	b _ _ r o o _ s	0.45	0.25	0.3
glasses	gloated	g l _ a _ e _	0.25	0.05	0.1
honest	hounds	h o _ n _ s	0.3	0.1	0.15
noodles	nucleus	n _ _ l e _ s	0.2	0	0.05
sympathy	symptoms	s _ m p t _ _ s	0.55	0.35	0.4
aluminum	assuming	a _ _ u m i n _	0.15	0	0.05
chemistry	champions	c h _ m _ i _ n s	0.25	0.1	0.15
hammer	heater	h _ a _ e r	0.7	0.55	0.6
repeat	reaped	r e _ p e _	0.3	0.15	0.2
tomorrow	tomatoes	t o m _ _ o _ s	0.95	0.8	0.85
artery	armory	a _ _ o r _	0.25	0.15	0.2
planet	plenty	p l _ n t _	0.9	0.85	0.9
record	reckon	r e c _ o _	0.05	0	0.05
turtle	turned	t u r _ e _	0.35	0.3	0.35
mother	mouths	m o _ t _ s	0.15	0.15	0.2
